PORT_ID,TERMINAL_ID,VESSEL_TYPE_ID_missing_ratio,IS_BALLAST_missing_ratio,TERMINAL_ID_missing_ratio,COMMODITY_ID_missing_ratio,n_obs
100946,,1.0,0.0,1.0,0.0,1
106116,,0.0,0.0,1.0,0.0,1
100817,913253.0,1.0,0.0,0.0,0.0,1
107532,,0.0,0.0,1.0,0.0,1
107748,,1.0,0.0,1.0,0.0,1
108127,,1.0,0.0,1.0,0.0,1
100651,,1.0,0.0,1.0,0.0,1
100611,,0.0,0.0,1.0,0.0,1
100517,,0.0,0.0,1.0,0.0,1
110331,,0.0,0.0,1.0,0.0,1
105590,,0.0,0.0,1.0,0.0,1
104421,957274.0,1.0,0.0,0.0,0.0,1
104421,957275.0,0.0,0.0,0.0,0.0,1
101744,,0.0,0.0,1.0,0.0,1
103607,,1.0,0.0,1.0,0.0,1
103758,,0.0,0.0,1.0,0.0,1
103793,,0.0,0.0,1.0,0.0,1
103888,915272.0,1.0,0.0,0.0,0.0,1
103899,,0.0,0.0,1.0,0.0,1
103571,,0.0,0.0,1.0,0.0,1
103548,,1.0,0.0,1.0,0.0,1
103347,955845.0,0.0,0.0,0.0,0.0,1
103315,911213.0,1.0,0.0,0.0,0.0,1
103276,,0.0,0.0,1.0,0.0,1
102858,,0.0,0.0,1.0,0.0,1
102813,,1.0,0.0,1.0,0.0,1
102742,,0.0,0.0,1.0,1.0,1
104168,,1.0,0.0,1.0,0.0,1
104177,,1.0,0.0,1.0,0.0,1
104266,,1.0,0.0,1.0,1.0,1
104284,908002.0,0.0,0.0,0.0,0.0,1
102546,,0.0,0.0,1.0,0.0,1
104416,,1.0,0.0,1.0,0.0,1
102308,,0.0,0.0,1.0,0.0,1
102035,915733.0,1.0,0.0,0.0,0.0,1
101973,,1.0,0.0,1.0,1.0,1
104419,,1.0,0.0,1.0,0.0,1
103271,,1.0,0.0,1.0,0.0,1
